City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,Sangar,63.9242,127.4739,-41.55,98,97,4.09,RU,2021-12-14 02:07:59
318,Salalah,17.0151,54.0924,73.49,38,0,13.8,OM,2021-12-14 02:07:59
319,Chupa,66.27,33.0549,17.87,97,88,4.92,RU,2021-12-14 02:07:59
320,Santo Domingo,18.5001,-69.9886,74.88,94,6,8.84,DO,2021-12-14 02:05:28
321,Goderich,43.7501,-81.7165,41.92,81,11,9.95,CA,2021-12-14 02:08:00
322,Nuqui,5.7125,-77.2708,75.9,89,65,3.4,CO,2021-12-14 02:08:00
323,Sativasur,6.0936,-72.7122,51.98,93,100,1.74,CO,2021-12-14 02:08:01
324,Christchurch,-43.5333,172.6333,65.91,74,90,3.0,NZ,2021-12-14 02:06:10
325,Chulman,56.8479,124.9104,-21.19,95,97,6.55,RU,2021-12-14 02:09:01
326,Zhengjiatun,43.5064,123.5064,24.06,66,0,8.84,CN,2021-12-14 02:09:01
327,Takhtamygda,54.1,123.5667,-3.46,84,93,3.71,RU,2021-12-14 02:09:02
328,Torbay,47.6666,-52.7314,39.27,87,34,7.0,CA,2021-12-14 02:02:56
329,Te Anau,-45.4167,167.7167,72.88,42,41,3.78,NZ,2021-12-14 02:07:52
330,Karakol,42.4907,78.3936,17.35,67,100,6.87,KG,2021-12-14 02:09:02
331,Kaitong,44.8135,123.15,13.69,86,5,4.76,CN,2021-12-14 02:09:03
332,Maxixe,-23.8597,35.3472,75.78,93,100,3.56,MZ,2021-12-14 02:09:03
333,Mentakab,3.4865,102.3516,77.11,89,80,1.57,MY,2021-12-14 02:09:03
334,Springfield,37.2153,-93.2982,53.46,53,1,12.66,US,2021-12-14 02:04:20
335,Adrar,20.5022,-10.0711,64.6,20,74,10.16,MR,2021-12-14 02:09:04
336,Pineville,31.3224,-92.4343,58.75,88,1,0.0,US,2021-12-14 02:08:58
337,Treinta Y Tres,-33.2333,-54.3833,65.98,95,100,8.37,UY,2021-12-14 02:05:34
338,Yenangyaung,20.4667,94.8833,71.65,64,0,5.26,MM,2021-12-14 02:09:04
339,Charters Towers,-20.1,146.2667,90.95,31,6,7.45,AU,2021-12-14 02:09:05
340,Puerto Escondido,15.85,-97.0667,81.43,69,1,5.75,MX,2021-12-14 02:09:05
341,Oistins,13.0667,-59.5333,80.69,78,75,21.85,BB,2021-12-14 02:09:05
342,Praia Da Vitoria,38.7333,-27.0667,52.75,81,95,5.3,PT,2021-12-14 02:09:06
343,Buchanan,5.8808,-10.0467,79.36,85,42,4.61,LR,2021-12-14 02:05:19
344,Kharp,66.8014,65.8081,7.23,98,100,4.25,RU,2021-12-14 02:09:06
345,Cap Malheureux,-19.9842,57.6142,77.47,72,11,4.0,MU,2021-12-14 02:09:06
346,Buta,2.7858,24.73,68.14,57,83,1.41,CD,2021-12-14 02:09:07
347,Chlorakas,34.8042,32.4083,63.63,86,90,3.44,CY,2021-12-14 02:09:03
348,Kamina,-8.7386,24.9906,64.22,95,100,0.65,CD,2021-12-14 02:09:07
349,Bud,39.447,-86.1758,44.33,81,93,5.08,US,2021-12-14 02:09:08
350,Sinnamary,5.3833,-52.95,78.22,87,100,10.02,GF,2021-12-14 02:08:00
351,Namatanai,-3.6667,152.4333,86.27,68,88,8.08,PG,2021-12-14 02:09:08
352,Kula,38.5473,28.6498,42.06,87,0,4.79,TR,2021-12-14 02:09:08
353,Moose Factory,51.2585,-80.6094,7.61,87,6,9.28,CA,2021-12-14 02:09:09
354,Iqaluit,63.7506,-68.5145,-5.31,76,90,25.99,CA,2021-12-14 02:09:09
355,Zlotow,53.3635,17.0408,33.24,100,100,5.08,PL,2021-12-14 02:08:10
356,Ballitoville,-29.539,31.2144,71.24,75,100,4.38,ZA,2021-12-14 02:09:09
